"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
ABBYWRG IN Equity,11449.27,,1168264,ADITYA B SL BAL BHAV WEAL-RG,India,Open-End Fund,19.56,2.15,-1.758,0.721,13.064,-3.645,42.982,15.71,0.641,15.343,34.433,0,,0.929,0,0.766,2388,-11.655,-0.108
ABESGRG IN Equity,6314.661,,1513161,ADIT BIR SL ESG INTGT STG-RG,India,Open-End Fund,17.58,2.44,-0.509,0.342,9.806,-0.284,44.93,,0.59,15.53,33.653,,,0.893,,0.858,1281,-1.138,0.063
ABIDFDG IN Equity,6382.089,,1286769,AB SL NIF IND DEF IN-DIR GRW,India,Open-End Fund,10.762,0.31,-5.884,-12.123,40.827,,,,,,87.51,,,,,0.461,359,,
ABIPFE1 IN Equity,17895.619,,2970378,ADIT B SCHEME E TIER 1,India,Open-End Pension,28.077,,-0.868,-0.991,10.061,-3.116,49.06,19.902,0.735,14.675,26.837,,,,,1.145,2388,,
ABIPFE2 IN Equity,507.09,,3241111,ADIT B SCHEME E TIER 2,India,Open-End Pension,28.483,,-0.69,-0.473,10.652,-2.134,50.481,20.333,0.963,14.471,28.883,,,,,1.112,2388,,
ABMCFRG IN Equity,65083.184,,650447.687,ADITYA BSL MULTI-CAP FUND-RG,India,Open-End Fund,19.38,1.82,-1.274,2.377,14.269,-1.724,58.592,,0.857,17.791,,1,,0.909,0,0.563,1570,-6.326,-0.037
ABN50RG IN Equity,3761.305,,2800376,ADITYA BIRLA NIFTY 50 EQL-RG,India,Open-End Fund,17.627,1.02,0.809,0.533,11.07,-2.422,55.107,,0.773,14.852,26.036,0,,0.998,0,1.406,1539,-5.72,-0.1
ABNEQTG IN Equity,26503.621,,3313740,BAR BNP PARI LAR CAP FN-RG,India,Open-End Fund,217.748,1.97,-0.278,-0.404,9.712,-4.965,54.495,19.662,0.827,14.381,51.85,1,,0.813,0,1.05,7639,-5.202,0.144
ABNFULG IN Equity,21834.844,,601543.5,BAR BNP PARI MUIS CAP-RG,India,Open-End Fund,99.753,2,-0.578,1.234,12.378,-4.96,69.175,27.263,1.099,16.341,21.097,1,,0.837,0,0.874,7048,24.307,0.584
ABNMCRG IN Equity,3794.307,,622372.812,ABSL NIFTY M-CAP 150 FUND-RG,India,Open-End Fund,23.201,1.01,-1.769,0.646,14.505,-3.407,78.38,,1.148,19.042,29.826,0,,1,0,0.741,1604,-4.897,-0.077
ABNSCRG IN Equity,2494.606,,250310.797,ABSL NIFTY SMALLCAP FUND-RG,India,Open-End Fund,20.084,1.01,-4.447,-0.469,13.259,-7.531,87.612,,1.078,22.898,102.667,0.5,,0.997,0,0.668,1604,-15.076,-0.212
ABNTAXG IN Equity,9111.471,,1390051,BARODA BNP PB ELSS TX SVR-RG,India,Open-End Fund,94.735,2.22,-0.019,1.933,12.619,-0.004,63.239,20.093,0.92,15.96,42.267,0,,0.937,0,0.631,7163,8.602,0.168
ABQNTDG IN Equity,24411.52,,1078097,ADITYA BIR SL QUANT-DIR GROW,India,Open-End Fund,9.55,0.52,-0.624,2.139,12.618,-7.461,,,,18.515,31.439,,,,,0.666,422,,
ABSCYRG IN Equity,17585.504,,801818.5,ABSL BUSINESS CYCLE FUND-RG,India,Open-End Fund,14.82,2.14,-1.789,-0.269,10.515,-3.074,45.152,,0.636,14.817,31.03,,,0.945,,0.728,1356,-8.44,-0.116
ABSLBDG IN Equity,,,,AB SUN LIF BSE500 M50 IND-DG,India,Open-End Fund,10.188,,,,,,,,,,,,,,,,16,,
