Ticker,Tot_Asset_M,Median_Mkt_Cap_M,Name,Domicile,Fund_Type,NAV,Expense_Ratio,Tot_Ret_1M,Tot_Ret_3M,Tot_Ret_6M,Tot_Ret_1Y,Tot_Ret_3Y,Mean_Ret_5Y_Ann,Sharpe_3Y,Std_Dev_1Y-M,Avg_Price_Cash_Flow,Back_Load,Beta_3Y,Front_Load,Avg_Dvd_Yield,History_Length,Ret_Vs_Idx_3Y,Alpha_3Y,Fund_Age_Months,Log_AUM,Is_Bottom_Quintile,Momentum_1M_3M,Momentum_3M_6M,Momentum_6M_1Y,Return_Rank_1M,Return_Rank_3M,Return_Rank_1Y,Momentum_Consistency,Return_Acceleration,Sharpe_1Y,Risk_Adjusted_Return,Downside_Risk_Proxy,Risk_Adjusted_AUM,Beta_Risk,Concentration_Risk,Risk_Efficiency,Expense_Efficiency,Expense_Rank,Size_Quintile,Is_Large_Fund,Is_Small_Fund,Is_Mature_Fund,Dividend_Rank,High_Dividend,Market_Cap_Rank,Large_Cap_Focus,PCF_Rank,Value_Score,Size_Return_Interaction,Size_Risk_Interaction,Age_Return_Interaction,Age_Risk_Interaction,Expense_Alpha_Interaction,Expense_Beta_Interaction,Risk_Return_Product,Beta_Alpha_Product,Tot_Ret_1Y_Percentile,Tot_Ret_1Y_Quintile_Q1,Tot_Ret_1Y_Quintile_Q2,Tot_Ret_1Y_Quintile_Q3,Tot_Ret_1Y_Quintile_Q4,Tot_Ret_1Y_Quintile_Q5,Sharpe_3Y_Percentile,Sharpe_3Y_Quintile_Q1,Sharpe_3Y_Quintile_Q2,Sharpe_3Y_Quintile_Q3,Sharpe_3Y_Quintile_Q4,Sharpe_3Y_Quintile_Q5,Alpha_3Y_Percentile,Alpha_3Y_Quintile_Q1,Alpha_3Y_Quintile_Q2,Alpha_3Y_Quintile_Q3,Alpha_3Y_Quintile_Q4,Alpha_3Y_Quintile_Q5,Expense_Ratio_Percentile,Expense_Ratio_Quintile_Q1,Expense_Ratio_Quintile_Q2,Expense_Ratio_Quintile_Q3,Expense_Ratio_Quintile_Q4,Expense_Ratio_Quintile_Q5,Tot_Asset_M_Percentile,Tot_Asset_M_Quintile_Q1,Tot_Asset_M_Quintile_Q2,Tot_Asset_M_Quintile_Q3,Tot_Asset_M_Quintile_Q4,Tot_Asset_M_Quintile_Q5,Fund_Age_Months_Percentile,Fund_Age_Months_Quintile_Q1,Fund_Age_Months_Quintile_Q2,Fund_Age_Months_Quintile_Q3,Fund_Age_Months_Quintile_Q4,Fund_Age_Months_Quintile_Q5,Std_Dev_1Y-M_Percentile,Std_Dev_1Y-M_Quintile_Q1,Std_Dev_1Y-M_Quintile_Q2,Std_Dev_1Y-M_Quintile_Q3,Std_Dev_1Y-M_Quintile_Q4,Std_Dev_1Y-M_Quintile_Q5,Performance_Composite,Alpha_Expense_Composite,Tot_Ret_1M_Trend_Strength,Tot_Ret_3M_Trend_Strength,Tot_Ret_6M_Trend_Strength,Tot_Ret_1Y_Trend_Strength,Short_Term_MA,Long_Term_MA,MA_Crossover,High_Vol_Regime,Low_Vol_Regime,Performance_Volatility,Performance_Range,Tot_Ret_1Y_ZScore,Tot_Ret_1Y_Outlier,Alpha_3Y_ZScore,Alpha_3Y_Outlier,Sharpe_3Y_ZScore,Sharpe_3Y_Outlier,Expense_Ratio_ZScore,Expense_Ratio_Outlier,Return_Skewness_Proxy,Return_Kurtosis_Proxy,Bull_Market_Performer,Bear_Market_Performer,High_Beta_Fund,Low_Beta_Fund,Positive_Alpha,Strong_Alpha,Low_Cost_Fund,High_Cost_Fund,Return_Momentum,Volatility_Risk,Return_Consistency,Age_Category
ABBYWRG IN Equity,11449.27,1168264.0,ADITYA B SL BAL BHAV WEAL-RG,India,Open-End Fund,19.56,2.15,-1.758,0.721,13.064,-3.645,42.982,15.71,0.641,15.343,34.433,0.0,0.929,0.0,0.766,2388.0,-11.655,-0.108,78.44940867279894,9.345681251491404,0,-2.479,-12.343,16.709,0.2224622030237581,0.5205183585313174,0.34773218142548595,0.5,9.864,-0.23756762041321774,-0.23756762041321774,23.014499999999998,0.6091169422798823,0.07099999999999995,0.000855238851106337,-0.0070390406002482945,-1.6953488372093024,0.7991360691144709,2,0,0,1,0.326133909287257,0,0.40496760259179265,0,0.6976241900647948,0.3023758099352052,-34.06500816168617,143.39078744163263,-285.9480946123521,1203.649277266754,-0.2322,1.99735,-55.925235,-0.100332,34.77321814254859,False,True,False,False,False,24.73002159827214,False,True,False,False,False,15.550755939524837,True,False,False,False,False,79.91360691144709,False,False,False,True,False,33.477321814254864,False,True,False,False,False,31.749460043196542,False,True,False,False,False,45.35637149028078,False,False,True,False,False,28.74730021598272,16.91144708423326,-1,1,1,-1,-0.5185,4.7095,0,0,0,7.52772752340749,16.709,-0.299070719451983,0,-0.8210731099553114,0,-0.393531028753488,0,0.7981291650621954,0,0.9660239491246384,-0.8153628965755573,0,0,0,0,0,0,0,1,-0.5185,4.209327846364883,7.52772752340749,Old
ABESGRG IN Equity,6314.661,1513161.0,ADIT BIR SL ESG INTGT STG-RG,India,Open-End Fund,17.58,2.44,-0.509,0.342,9.806,-0.284,44.93,22.754,0.59,15.53,33.653,1.0,0.893,0.0,0.858,1281.0,-1.138,0.063,42.08278580814717,8.750629351633464,1,-0.851,-9.463999999999999,10.09,0.5010799136069114,0.4287257019438445,0.652267818574514,0.5,8.613,-0.01828718609143593,-0.01828718609143593,23.294999999999998,0.5634661523502126,0.10699999999999998,0.0006604317506526717,0.004056664517671176,-0.11639344262295082,0.9546436285097192,2,0,0,0,0.46436285097192226,0,0.562634989200864,0,0.6803455723542117,0.31965442764578833,-2.4851787358639035,135.89727383086768,-11.951511169513795,653.5456636005256,0.15372,2.17892,-4.410519999999999,0.056259,65.2267818574514,False,False,False,True,False,16.19870410367171,True,False,False,False,False,42.11663066954643,False,False,True,False,False,95.46436285097192,False,False,False,False,True,21.382289416846653,False,True,False,False,False,3.7796976241900646,True,False,False,False,False,47.73218142548596,False,False,True,False,False,35.809935205183585,30.842332613390923,-1,1,1,-1,-0.08349999999999999,4.760999999999999,0,0,0,4.991169894590512,10.315,0.14551885065749065,0,-0.23491119895698523,0,-0.5005190914091338,0,1.3067640996009324,0,1.1369287874496066,-0.6809849281410618,0,0,0,0,1,0,0,1,-0.08349999999999999,54.683098591549296,4.991169894590512,Mature
ABMCFRG IN Equity,65083.184,650447.687,ADITYA BSL MULTI-CAP FUND-RG,India,Open-End Fund,19.38,1.82,-1.274,2.377,14.269,-1.724,58.592,22.754,0.857,17.791,29.049500000000002,1.0,0.909,0.0,0.563,1570.0,-6.326,-0.037,51.57687253613666,11.083421484536952,0,-3.651,-11.892,15.993,0.31533477321814257,0.7948164146868251,0.5291576673866091,0.5,8.241,-0.09690292844696756,-0.09690292844696756,26.686500000000002,0.6229791174361846,0.09099999999999997,0.001535042674884806,-0.0020797032195606184,-0.9472527472527472,0.5010799136069114,4,0,0,0,0.08423326133909287,0,0.18898488120950324,0,0.5010799136069114,0.4989200863930886,-19.107818639341705,197.18515163139693,-88.91852825229961,917.6041392904074,-0.06734,1.6543800000000002,-30.671684,-0.033632999999999996,52.915766738660906,False,False,True,False,False,49.24406047516199,False,False,True,False,False,31.317494600431967,False,True,False,False,False,50.10799136069114,False,False,True,False,False,70.19438444924407,False,False,False,True,False,15.118790496760258,True,False,False,False,False,69.97840172786177,False,False,False,True,False,50.71274298056156,36.88984881209504,-1,1,1,-1,0.5514999999999999,6.2725,0,1,0,7.467323616932642,15.993,-0.04496284555126923,0,-0.5776959422308602,0,0.059594883670423204,0,0.21933768782846053,0,0.961616425681977,-0.8453695328765614,0,0,0,0,0,0,0,0,0.5514999999999999,10.319605568445477,7.467323616932642,Mature
ABN50RG IN Equity,3761.305,2800376.0,ADITYA BIRLA NIFTY 50 EQL-RG,India,Open-End Fund,17.627,1.02,0.809,0.533,11.07,-2.422,55.107,22.754,0.773,14.852,26.036,0.0,0.998,0.0,1.406,1539.0,-5.72,-0.1,50.55847568988173,8.232521250635616,0,0.276,-10.537,13.492,0.8855291576673866,0.46220302375809935,0.46436285097192226,0.75,10.813,-0.16307568004309184,-0.16307568004309184,22.278,0.5543038813016816,0.0020000000000000018,0.0003569674331471391,-0.006733099914669337,-2.3745098039215686,0.16846652267818574,1,0,1,0,0.9222462203023758,1,0.7462203023758099,1,0.35205183585313177,0.6479481641468683,-19.939166469039463,122.26940561444016,-122.45262812089356,750.8944809461235,-0.10200000000000001,1.01796,-35.971544,-0.0998,46.436285097192226,False,False,True,False,False,37.79697624190065,False,True,False,False,False,16.954643628509718,True,False,False,False,False,16.846652267818573,True,False,False,False,False,16.630669546436287,True,False,False,False,False,14.254859611231103,True,False,False,False,False,39.740820734341256,False,True,False,False,False,41.25269978401728,36.81425485961123,1,1,1,-1,0.671,4.324,0,0,0,5.8991391744897825,13.492,-0.1372935566302376,0,-0.7936503304934014,0,-0.11662074893887554,0,-1.1837931660715035,0,0.9346822805801899,-0.7946453881014759,0,0,1,0,0,0,1,0,0.671,6.132122213047068,5.8991391744897825,Mature
ABNEQTG IN Equity,26503.621,3313740.0,BAR BNP PARI LAR CAP FN-RG,India,Open-End Fund,217.748,1.97,-0.278,-0.404,9.712,-4.965,54.495,19.662,0.827,14.381,51.85,1.0,0.813,0.0,1.05,7639.0,-5.202,0.144,250.9526938239159,10.185036644149147,0,0.126,-10.116,14.677,0.5993520518358532,0.2980561555075594,0.265658747300216,0.25,10.241999999999999,-0.34524720116820806,-0.34524720116820806,21.5715,0.7082286793037244,0.18700000000000006,0.00030168278658356315,0.010013211869819056,-2.520304568527919,0.6576673866090713,3,0,0,1,0.7311015118790497,1,0.8272138228941684,1,0.8833693304535637,0.1166306695464363,-50.56870693820051,146.4710119795089,-1245.9801248357423,3608.9506898817344,0.28368,1.60161,-71.401665,0.11707199999999998,26.565874730021598,False,True,False,False,False,46.11231101511879,False,False,True,False,False,56.587473002159825,False,False,True,False,False,65.76673866090714,False,False,False,True,False,51.18790496760259,False,False,True,False,False,80.56155507559394,False,False,False,False,True,34.557235421166304,False,True,False,False,False,38.29373650107992,49.88120950323973,-1,-1,1,-1,-0.341,2.3735,0,0,0,6.193642244269522,14.677,-0.4736789409766795,0,0.042744443094853445,0,-0.003339270832897857,0,0.4824247229347036,0,0.7104008206059269,-0.8845018625204766,0,1,0,0,1,0,0,0,-0.341,2.8964753272910375,6.193642244269522,Old
ABNFULG IN Equity,21834.844,601543.5,BAR BNP PARI MUIS CAP-RG,India,Open-End Fund,99.753,2.0,-0.578,1.234,12.378,-4.96,69.175,27.263,1.099,16.341,21.097,1.0,0.837,0.0,0.874,7048.0,24.307,0.584,231.53745072273324,9.991262321401353,0,-1.8119999999999998,-11.144,17.338,0.4838012958963283,0.6069114470842333,0.2678185745140389,0.5,9.332,-0.30353099565510067,-0.30353099565510067,24.5115,0.6114229432279005,0.16300000000000003,0.001659631213348082,0.03573832688590763,-2.48,0.6868250539956804,3,0,0,1,0.48272138228941686,0,0.1468682505399568,0,0.20086393088552915,0.7991360691144709,-49.55666111415071,163.2672175940195,-1148.4257555847569,3783.553482260184,1.168,1.674,-81.05136,0.48880799999999996,26.78185745140389,False,True,False,False,False,75.80993520518359,False,False,False,True,False,92.65658747300216,False,False,False,False,True,68.68250539956804,False,False,False,True,False,46.868250539956804,False,False,True,False,False,69.3304535637149,False,False,False,True,False,56.803455723542115,False,False,True,False,False,56.19870410367171,74.2548596112311,-1,1,1,-1,0.328,3.709,0,1,0,7.379610536245573,17.338,-0.4730175461981769,0,1.550997313499903,0,0.5672637299972126,0,0.5350421299559524,0,0.7220754525603919,-0.9117274125902375,0,1,0,0,1,1,0,0,0.328,3.2945564516129036,7.379610536245573,Old
ABNMCRG IN Equity,3794.307,622372.812,ABSL NIFTY M-CAP 150 FUND-RG,India,Open-End Fund,23.201,1.01,-1.769,0.646,14.505,-3.407,78.38,22.754,1.148,19.042,29.826,0.0,1.0,0.0,0.741,1604.0,-4.897,-0.077,52.69382391590013,8.24125706445908,0,-2.415,-13.859,17.912,0.21706263498920086,0.48812095032397407,0.3714902807775378,0.5,11.444,-0.17892028148303749,-0.17892028148303749,28.563000000000002,0.4327936697894729,0.0,0.0016041764747353143,-0.0040436928872788075,-3.373267326732673,0.16090712742980562,1,0,1,0,0.29049676025917925,0,0.1587473002159827,0,0.5971922246220303,0.40280777537796975,-28.07796281861209,156.93001702142982,-179.52785808147175,1003.3957950065704,-0.07777,1.01,-64.87609400000001,-0.077,37.14902807775378,False,True,False,False,False,81.10151187904968,False,False,False,False,True,23.218142548596113,False,True,False,False,False,16.09071274298056,True,False,False,False,False,16.846652267818573,True,False,False,False,False,15.658747300215984,True,False,False,False,False,78.61771058315334,False,False,False,True,False,63.52051835853132,41.42548596112311,-1,1,1,-1,-0.5614999999999999,5.549,0,1,0,8.178716173703549,17.912,-0.26758832799525734,0,-0.7148098395404102,0,0.6700561823526369,0,-1.201332301745253,0,1.015667683447956,-0.7781980192315698,0,0,1,0,0,0,1,0,-0.5614999999999999,5.589081303199296,8.178716173703549,Mature
ABNSCRG IN Equity,2494.606,250310.797,ABSL NIFTY SMALLCAP FUND-RG,India,Open-End Fund,20.084,1.01,-4.447,-0.469,13.259,-7.531,87.612,22.754,1.078,22.898,102.667,0.5,0.997,0.0,0.668,1604.0,-15.076,-0.212,52.69382391590013,7.821886079883938,0,-3.978,-13.728,20.79,0.008639308855291577,0.2786177105831533,0.16198704103671707,0.25,9.75,-0.3288933531312778,-0.3288933531312778,34.347,0.3415969113664062,0.0030000000000000027,0.0039791366385265176,-0.009258450515652699,-7.456435643564356,0.16090712742980562,1,0,1,0,0.19546436285097193,0,0.06587473002159827,0,0.9676025917926566,0.03239740820734338,-58.90662406760593,179.1055474571824,-396.8371879106439,1206.5831800262813,-0.21412,1.00697,-172.444838,-0.211364,16.19870410367171,True,False,False,False,False,72.35421166306696,False,False,False,True,False,7.559395248380129,True,False,False,False,False,16.09071274298056,True,False,False,False,False,10.151187904967603,True,False,False,False,False,15.658747300215984,True,False,False,False,False,95.24838012958963,False,False,False,False,True,49.892008639308855,30.46436285097192,-1,-1,1,-1,-2.458,2.8640000000000003,0,1,0,9.171477089324272,20.79,-0.8131067413042335,0,-1.1775692429601414,0,0.5232098218448882,0,-1.201332301745253,0,0.8292332560750422,-0.9207212368018207,0,1,1,0,0,0,1,0,-2.458,3.040499269685301,9.171477089324272,Mature
ABNTAXG IN Equity,9111.471,1390051.0,BARODA BNP PB ELSS TX SVR-RG,India,Open-End Fund,94.735,2.22,-0.019,1.933,12.619,-0.004,63.239,20.093,0.92,15.96,42.267,0.0,0.937,0.0,0.631,7163.0,8.602,0.168,235.31537450722732,9.117289448130066,0,-1.952,-10.686,12.623,0.6781857451403888,0.7408207343412527,0.6825053995680346,0.5,8.734,-0.0002506265664160401,-0.0002506265664160401,23.94,0.5712587369935763,0.06299999999999994,0.0007188809037195617,0.010526315782878248,-0.0018018018018018016,0.8315334773218143,2,0,0,1,0.13822894168466524,0,0.5032397408207343,0,0.8293736501079914,0.17062634989200864,-0.03646915779252027,145.51193959215587,-0.9412614980289092,3755.6333771353484,0.37296000000000007,2.08014,-0.06384000000000001,0.15741600000000003,68.25053995680346,False,False,False,True,False,57.66738660907127,False,False,True,False,False,60.367170626349896,False,False,False,True,False,83.15334773218143,False,False,False,False,True,26.997840172786177,False,True,False,False,False,70.73434125269978,False,False,False,True,False,52.48380129589633,False,False,True,False,False,61.90064794816415,47.3110151187905,-1,1,1,-1,0.9570000000000001,6.3075,0,1,0,6.060887359399888,12.638,0.1825569582536384,0,0.1250127814805835,0,0.19175660812739745,0,0.9209031147784428,0,1.078968560846958,-0.7328914036034635,0,0,1,0,1,0,0,1,0.9570000000000001,3990.0,6.060887359399888,Old
ABSCYRG IN Equity,17585.504,801818.5,ABSL BUSINESS CYCLE FUND-RG,India,Open-End Fund,14.82,2.14,-1.789,-0.269,10.515,-3.074,45.152,22.754,0.636,14.817,31.03,1.0,0.945,0.0,0.728,1356.0,-8.44,-0.116,44.546649145860705,9.774830205287817,0,-1.52,-10.784,13.589,0.20734341252699784,0.31317494600431967,0.408207343412527,0.25,9.264000000000001,-0.20746439900114733,-0.20746439900114733,22.2255,0.6597037321111412,0.05500000000000005,0.001245611554791027,-0.007828845240042624,-1.436448598130841,0.7926565874730022,3,0,0,0,0.26997840172786175,0,0.2570194384449244,0,0.6241900647948164,0.3758099352051836,-30.047828051054747,144.83365915174957,-136.9363994743758,660.047700394218,-0.24824000000000002,2.0223,-45.547458,-0.10962,40.8207343412527,False,False,True,False,False,23.974082073434126,False,True,False,False,False,14.254859611231103,True,False,False,False,False,79.26565874730022,False,False,False,True,False,42.33261339092873,False,False,True,False,False,7.4514038876889845,True,False,False,False,False,38.66090712742981,False,True,False,False,False,30.712742980561558,16.198704103671705,-1,-1,1,-1,-1.029,3.7205000000000004,0,0,0,6.2194161234529615,13.589,-0.22353943574698162,0,-0.8484958894172213,0,-0.4040200545040415,0,0.7805900293884462,0,1.0392389893548646,-0.7562645300299744,0,0,1,0,0,0,0,1,-1.029,4.82010409889395,6.2194161234529615,Mature
